,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,30.585106382978722,46.37359418237855,1504,30.585106382978722,46.37359418237855,1504,30.585106382978722,0.9928890466690063,46.373594182378575,0.9928890466690063,16.708155091999288,90.01592286632481,0.011109145672871867
deepset/roberta-base-squad2-distilled_final,37.16755319148936,55.57702295169093,1504,37.16755319148936,55.57702295169093,1504,37.16755319148936,0.999354898929596,55.57702295169098,0.999354898929596,29.975903341999583,50.17363389655478,0.019930786796542276
deepset/roberta-base-squad2-distilled_trained,37.566489361702125,55.30612783363934,1504,37.566489361702125,55.30612783363934,1504,37.566489361702125,0.997443675994873,55.306127833639366,0.9983336329460144,30.84897269599969,48.753649426874745,0.020511285037233838
VMware/electra-small-mrqa,37.965425531914896,53.96875690828176,1504,37.965425531914896,53.96875690828176,1504,37.965425531914896,0.9755100607872009,53.96875690828181,0.9755100607872009,21.924896055999852,68.59781666278063,0.014577723441489264
