,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,24.018629407850966,33.23394577014344,1503,24.018629407850966,33.23394577014344,1503,24.018629407850966,0.9920570254325867,33.23394577014343,0.9920570254325867,42.48521188400082,35.37701551550937,0.02826694070791804
deepset/roberta-base-squad2-distilled_final,35.26280771789754,47.94184656321125,1503,35.26280771789754,47.94184656321125,1503,35.26280771789754,0.9989029169082642,47.94184656321131,0.9989029169082642,73.85118719500133,20.351737826927334,0.04913585309048658
deepset/roberta-base-squad2-distilled_trained,35.99467731204258,48.02789072841288,1503,35.99467731204258,48.02789072841288,1503,35.99467731204258,0.998660683631897,48.027890728412906,0.998660683631897,74.38435649299936,20.205861431918873,0.04949058981570151
VMware/electra-small-mrqa,27.67797737857618,33.791425411868765,1503,27.67797737857618,33.791425411868765,1503,27.67797737857618,0.9919646382331848,33.79142541186875,0.9919646382331848,41.41464943599931,36.2915060363527,0.027554656976712784
