,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,20.326409495548962,30.39380285766401,674,20.326409495548962,30.39380285766401,674,20.326409495548962,0.977269172668457,30.393802857664006,0.9933908581733704,8.351656536000519,80.70255249298941,0.012391181804155074
deepset/roberta-base-squad2-distilled_final,30.26706231454006,43.157169917830586,674,30.26706231454006,43.157169917830586,674,30.26706231454006,0.998894214630127,43.15716991783058,0.998894214630127,15.280943781999667,44.10722332438293,0.022672023415429773
deepset/roberta-base-squad2-distilled_trained,26.706231454005934,38.28427296068543,674,26.706231454005934,38.28427296068543,674,26.706231454005934,0.9971165060997009,38.28427296068543,0.9971165060997009,15.8739962439995,42.45937756566986,0.02355192321068175
VMware/electra-small-mrqa,14.985163204747774,23.278964547358765,674,14.985163204747774,23.278964547358765,674,14.985163204747774,0.9622474908828735,23.27896454735876,0.9622474908828735,10.764296351999292,62.61440394799383,0.015970766100889155
