,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,36.375749500333114,46.52013850282351,1501,36.375749500333114,46.52013850282351,1501,36.375749500333114,0.9968746304512024,46.520138502823514,0.9968746304512024,45.42639024500022,33.042466986801905,0.030264084107261974
deepset/roberta-base-squad2-distilled_final,46.96868754163891,58.08114823261576,1501,46.96868754163891,58.08114823261576,1501,46.96868754163891,0.9995632767677307,58.08114823261585,0.9995632767677307,81.34760397399987,18.451680524969685,0.05419560557894728
deepset/roberta-base-squad2-distilled_trained,45.436375749500336,56.185285955439106,1501,45.436375749500336,56.185285955439106,1501,45.436375749500336,0.9992411732673645,56.18528595543914,0.9992411732673645,83.62676225900032,17.948799636069314,0.055714032151232724
VMware/electra-small-mrqa,23.650899400399734,29.041096219643862,1501,23.650899400399734,29.041096219643862,1501,23.650899400399734,0.9906856417655945,29.041096219643865,0.9906856417655945,53.446290023000984,28.084269260860466,0.035607121934044625
