,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,13.107119095143048,20.32150299615371,1503,13.107119095143048,20.32150299615371,1503,13.107119095143048,0.960005521774292,20.321502996153704,0.960005521774292,14.38173951600038,104.5075248601075,0.009568688966068117
deepset/roberta-base-squad2-distilled_final,24.151696606786427,31.539664778187777,1503,24.151696606786427,31.539664778187777,1503,24.151696606786427,0.998918354511261,31.539664778187767,0.998918354511261,23.86716917600097,62.9735344362206,0.015879686743846287
deepset/roberta-base-squad2-distilled_trained,22.887558216899535,30.191643574877148,1503,22.887558216899535,30.191643574877148,1503,22.887558216899535,0.9991145133972168,30.191643574877148,0.9991145133972168,24.053131709999434,62.48666569165165,0.01600341431137687
VMware/electra-small-mrqa,14.90352628077179,23.592771167621507,1503,14.90352628077179,23.592771167621507,1503,14.90352628077179,0.9196824431419373,23.59277116762149,0.9196824431419373,17.5964858440002,85.41478186750975,0.011707575411843113
