,exact,f1,total,HasAns_exact,HasAns_f1,HasAns_total,best_exact,best_exact_thresh,best_f1,best_f1_thresh,total_time_in_seconds,samples_per_second,latency_in_seconds
distilbert/distilbert-base-uncased_final,41.927825261158596,54.90969378674424,4212,41.927825261158596,54.90969378674424,4212,41.927825261158596,0.9995656609535217,54.909693786744306,0.9995656609535217,93.81739747100073,44.895724178470665,0.022273836056742814
deepset/roberta-base-squad2-distilled_final,50.02374169040836,63.608985134134585,4212,50.02374169040836,63.608985134134585,4212,50.02374169040836,0.9998898506164551,63.608985134134635,0.9998898506164551,196.11646082600055,21.47703452458788,0.04656136296913593
VMware/electra-small-mrqa,41.547958214624884,56.503761870078314,4212,41.547958214624884,56.503761870078314,4212,41.547958214624884,0.9869721531867981,56.5037618700784,0.9869721531867981,104.4028498660009,40.34372630063282,0.024787001392687774
